0.000000	0.958285	S
0.958285	1.074010	U
1.074010	1.396822	V
1.396822	2.115536	S
2.115536	2.350032	V
2.350032	3.325574	S
3.325574	3.540782	V
3.540782	3.826034	U
3.826034	4.583323	S
4.583323	4.653367	U
4.653367	4.865530	V
4.865530	5.106116	U
5.106116	5.785240	S
5.785240	5.829905	U
5.829905	6.005523	V
6.005523	6.043591	S
6.043591	6.118203	U
6.118203	6.232405	V
6.232405	6.939953	S
6.939953	7.087654	U
7.091715	7.197796	V
7.197796	7.372907	U
7.372907	7.399808	S
7.399808	7.429247	U
7.429247	8.110908	S
8.110908	8.311397	U
8.311397	8.426614	V
\	2405.594238	2405.594238
8.426614	8.731154	U
\	4979.020996	4979.020996
8.731154	9.346832	S
\	4979.020996	4979.020996
9.346832	9.550873	U
\	4979.020996	4979.020996
9.550873	9.716340	V
\	4979.020996	4979.020996
9.716340	9.832573	S
\	4979.020996	4979.020996
9.833588	9.879776	U
\	4979.020996	4979.020996
9.879776	10.698480	S
\	4979.020996	4979.020996
10.698480	11.008603	V
\	4979.020996	4979.020996
11.008603	11.107071	S
\	4979.020996	4979.020996
11.107071	11.156813	U
\	4979.020996	4979.020996
11.156813	11.928313	S
\	4979.020996	4979.020996
11.928313	12.392736	V
\	4979.020996	4979.020996
12.392736	12.880000	S
\	4979.020996	4979.020996
