0.000000	0.755590	S
0.755590	0.889222	U
0.889222	1.247538	V
1.247538	2.013094	S
2.013094	2.380470	V
2.380470	3.082607	S
3.082607	3.387017	V
3.387017	3.693692	U
3.693692	4.329692	S
4.329692	4.351436	U
4.351436	4.574308	V
4.574308	4.931718	U
4.931718	5.534197	S
5.534197	5.557299	U
5.557299	5.744838	V
5.744838	5.791949	S
5.791949	5.855821	U
5.855821	6.037923	V
6.037923	6.683889	S
6.683889	6.860556	U
6.860556	6.992376	V
6.992376	7.184444	U
7.184444	7.236085	S
7.236085	7.264171	U
7.264171	7.902436	S
7.902436	8.093598	U
8.093598	8.185103	V
8.185103	8.545684	U
8.545684	9.150427	S
9.150427	9.313957	U
9.313957	9.467521	V
9.467521	9.655513	S
9.655513	9.684504	U
9.684504	10.492641	S
10.492641	10.741333	V
\	3356.643555	3356.643555
10.741333	10.862282	S
\	3356.643555	3356.643555
10.862282	10.899427	U
\	3356.643555	3356.643555
10.899427	11.657282	S
\	3356.643555	3356.643555
11.657282	12.019675	V
\	3356.643555	3356.643555
12.019675	12.720000	S
\	3356.643555	3356.643555
